TotalFinishedArea,LivingUnits,TotalAppraisedValue,SaleYear,SaleMonth,PriceRatio,AssrLandUse_APT FOUR,AssrLandUse_CONDOMINIMUM,AssrLandUse_MULTI DWLG,AssrLandUse_ONE FAMILY,AssrLandUse_THREE FAMILY,AssrLandUse_TWO FAMILY
1196.0,1.0,131300,2023,4,1.3709063214013708,False,False,False,True,False,False
1196.0,1.0,91600,2021,1,0.7860262008733624,False,False,False,True,False,False
1121.6,1.0,131200,2023,1,1.333841463414634,False,False,False,True,False,False
1333.60001,1.0,63300,2023,5,1.0268562401263823,False,False,False,True,False,False
1192.0,1.0,167700,2022,3,1.2522361359570662,False,False,False,True,False,False
1344.0,1.0,174500,2021,1,0.9742120343839542,False,False,False,True,False,False
1572.0,1.0,241200,2021,1,0.9950248756218906,False,False,False,True,False,False
1576.0,1.0,248700,2020,11,0.985122637716124,False,False,False,True,False,False
1155.0,1.0,172500,2021,8,1.1014492753623188,False,False,False,True,False,False
1439.0,1.0,191400,2024,6,1.4629049111807733,False,False,False,True,False,False
1152.0,1.0,151800,2023,1,1.310935441370224,False,False,False,True,False,False
2338.0,2.0,160000,2021,7,0.9375,False,False,False,False,False,True
1116.0,1.0,263200,2023,9,0.6098024316109423,False,False,False,True,False,False
1116.0,1.0,263200,2024,3,1.253419452887538,False,False,False,True,False,False
1091.30001,1.0,167600,2024,4,1.1933174224343674,False,False,False,True,False,False
1260.0,1.0,176600,2021,2,0.911664779161948,False,False,False,True,False,False
899.5,1.0,190200,2020,10,1.077812828601472,False,False,False,True,False,False
2080.0,2.0,229900,2021,9,0.8873423227490214,False,False,False,False,False,True
1144.0,1.0,166300,2021,5,0.9019843656043296,False,False,False,True,False,False
1440.0,2.0,130600,2021,7,1.046010719754977,False,False,False,False,False,True
3200.0,2.0,308900,2021,8,1.165425704111363,False,False,False,False,False,True
1176.0,1.0,163700,2020,10,0.9957238851557728,False,False,False,True,False,False
2157.60001,1.0,238500,2021,11,0.5660377358490566,False,False,False,True,False,False
2157.60001,1.0,238500,2022,6,1.1740041928721174,False,False,False,True,False,False
1896.0,2.0,172400,2022,1,1.334106728538283,False,False,False,False,False,True
1566.0,1.0,88000,2023,6,0.7408724999999999,False,False,False,True,False,False
1566.0,1.0,88000,2023,12,1.4772727272727273,False,False,False,True,False,False
2112.0,2.0,214000,2020,11,0.7523364485981309,False,False,False,False,False,True
1056.0,1.0,177900,2023,10,1.2085441259134344,False,False,False,True,False,False
2112.0,2.0,204100,2024,1,1.175894169524743,False,False,False,False,False,True
1284.0,1.0,188300,2023,9,1.216144450345194,False,False,False,True,False,False
1834.5,1.0,303500,2023,7,1.2520593080724876,False,False,False,True,False,False
1179.625,1.0,232300,2021,3,0.8824795523030564,False,False,False,True,False,False
1456.0,1.0,182400,2021,4,1.087719298245614,False,False,False,True,False,False
1516.0,1.0,190400,2022,1,1.3077731092436975,False,False,False,True,False,False
1142.40001,1.0,180900,2021,11,1.0503040353786623,False,False,False,True,False,False
1134.0,1.0,178100,2022,10,1.2914093206064008,False,False,False,True,False,False
1356.0,1.0,201000,2022,9,1.1890547263681592,False,False,False,True,False,False
1104.0,1.0,119600,2023,3,1.4632107023411371,False,False,False,True,False,False
1200.0,1.0,177500,2023,4,0.704225352112676,False,False,False,True,False,False
900.0,1.0,161300,2021,2,1.0725356478611283,False,False,False,True,False,False
1207.5,1.0,176000,2022,1,1.25,False,False,False,True,False,False
900.0,1.0,172700,2022,9,1.3312101910828025,False,False,False,True,False,False
900.0,1.0,156500,2021,11,1.060702875399361,False,False,False,True,False,False
900.0,1.0,156500,2021,11,1.060702875399361,False,False,False,True,False,False
900.0,1.0,160100,2021,10,1.155527795128045,False,False,False,True,False,False
1566.0,1.0,270500,2024,6,0.8133086876155268,False,False,False,True,False,False
1566.0,1.0,270500,2024,9,1.21996303142329,False,False,False,True,False,False
1475.5,1.0,220100,2021,9,1.0676965015901865,False,False,False,True,False,False
900.0,1.0,151900,2023,1,1.41540487162607,False,False,False,True,False,False
1696.25,1.0,241700,2021,11,1.0860570955730244,False,False,False,True,False,False
1067.0,1.0,167200,2022,11,1.1064593301435406,False,False,False,True,False,False
900.0,1.0,163600,2020,10,1.0207885085574573,False,False,False,True,False,False
900.5,1.0,172700,2020,10,1.0654313839027214,False,False,False,True,False,False
901.0,1.0,165400,2022,8,1.3899637243047158,False,False,False,True,False,False
899.0,1.0,194800,2021,11,0.9753593429158112,False,False,False,True,False,False
899.0,1.0,194800,2024,3,1.3090349075975358,False,False,False,True,False,False
901.0,1.0,182100,2021,5,1.043382756727073,False,False,False,True,False,False
899.0,1.0,199300,2023,8,0.9031610637230306,False,False,False,True,False,False
899.0,1.0,199300,2024,3,1.4049172102358254,False,False,False,True,False,False
899.5,1.0,163400,2022,1,1.211750305997552,False,False,False,True,False,False
900.0,1.0,172300,2022,1,1.0562971561230412,False,False,False,True,False,False
900.0,1.0,162100,2021,9,1.07958050586058,False,False,False,True,False,False
900.0,1.0,159400,2021,10,1.1606022584692597,False,False,False,True,False,False
900.0,1.0,145300,2021,12,1.1355815554026152,False,False,False,True,False,False
1155.0,1.0,180800,2022,1,1.106194690265487,False,False,False,True,False,False
900.0,1.0,163800,2023,1,1.0012210012210012,False,False,False,True,False,False
