TotalFinishedArea,LivingUnits,SaleDate,SalePrice,TotalAppraisedValue,AssrLandUse,PriceRatio
1384.25,1.0,2024/08/30 00:00:00+00,290000.0,201500,ONE FAMILY,1.4392059553349876
1179.5,1.0,2023/07/13 00:00:00+00,239900.0,180000,ONE FAMILY,1.3327777777777778
1229.80001,1.0,2024/08/16 00:00:00+00,270049.0,184300,ONE FAMILY,1.465268583830711
1386.0,1.0,2022/10/28 00:00:00+00,155000.0,224600,ONE FAMILY,0.6901157613535174
1074.50001,1.0,2021/10/15 00:00:00+00,200000.0,157700,ONE FAMILY,1.2682308180088777
1302.5,1.0,2020/10/08 00:00:00+00,190000.0,209900,ONE FAMILY,0.9051929490233445
1195.20001,1.0,2021/11/03 00:00:00+00,142200.0,185900,ONE FAMILY,0.7649273803119957
1088.0,1.0,2022/09/28 00:00:00+00,256000.0,192800,ONE FAMILY,1.3278008298755186
1417.0,1.0,2022/09/30 00:00:00+00,220000.0,227700,ONE FAMILY,0.966183574879227
1183.0,1.0,2023/11/08 00:00:00+00,281000.0,188800,ONE FAMILY,1.4883474576271187
1305.0,1.0,2021/07/30 00:00:00+00,205000.0,194000,ONE FAMILY,1.056701030927835
1428.0,1.0,2023/03/24 00:00:00+00,260000.0,201900,ONE FAMILY,1.2877662209014364
1086.0,1.0,2020/11/20 00:00:00+00,175000.0,174900,ONE FAMILY,1.0005717552887363
1223.5,1.0,2021/04/15 00:00:00+00,220000.0,199300,ONE FAMILY,1.1038635223281485
912.0,1.0,2020/12/14 00:00:00+00,199900.0,198200,ONE FAMILY,1.008577194752775
1495.0,1.0,2021/06/02 00:00:00+00,240000.0,226900,ONE FAMILY,1.0577346848832085
1930.0,1.0,2023/03/10 00:00:00+00,170000.0,249600,ONE FAMILY,0.6810897435897436
1930.0,1.0,2023/09/11 00:00:00+00,316000.0,249600,ONE FAMILY,1.266025641025641
1002.0,1.0,2021/12/13 00:00:00+00,207000.0,221700,ONE FAMILY,0.9336941813261164
1123.0,1.0,2022/06/14 00:00:00+00,265000.0,198000,ONE FAMILY,1.3383838383838385
2018.75,1.0,2021/04/19 00:00:00+00,236000.0,229500,ONE FAMILY,1.028322440087146
3449.60001,2.0,2021/06/15 00:00:00+00,285000.0,265300,TWO FAMILY,1.0742555597436865
3120.0,2.0,2023/05/01 00:00:00+00,340000.0,243000,TWO FAMILY,1.3991769547325104
1878.0,1.0,2021/03/25 00:00:00+00,198000.0,195800,ONE FAMILY,1.0112359550561798
1878.0,1.0,2024/03/07 00:00:00+00,270000.0,195800,ONE FAMILY,1.3789581205311543
1552.0,1.0,2021/03/15 00:00:00+00,224500.0,220200,ONE FAMILY,1.01952770208901
2626.0,2.0,2023/05/09 00:00:00+00,345000.0,247100,TWO FAMILY,1.396195872116552
3199.5,2.0,2021/01/21 00:00:00+00,270000.0,281400,TWO FAMILY,0.9594882729211087
1646.5,1.0,2023/11/09 00:00:00+00,225000.0,179600,ONE FAMILY,1.252783964365256
1619.95001,1.0,2023/07/25 00:00:00+00,275000.0,209300,ONE FAMILY,1.3139034878165312
1008.0,1.0,2024/06/11 00:00:00+00,260000.0,195000,ONE FAMILY,1.3333333333333333
1777.0,1.0,2024/07/31 00:00:00+00,360000.0,279900,ONE FAMILY,1.2861736334405145
1630.0,1.0,2020/10/22 00:00:00+00,210000.0,213600,ONE FAMILY,0.9831460674157303
1151.40001,1.0,2020/11/19 00:00:00+00,180000.0,182400,ONE FAMILY,0.9868421052631579
1091.0,1.0,2021/11/23 00:00:00+00,227000.0,193300,ONE FAMILY,1.174340403517848
1092.0,1.0,2020/12/28 00:00:00+00,201000.0,208600,ONE FAMILY,0.9635666347075743
1273.0,1.0,2022/09/26 00:00:00+00,237000.0,192900,ONE FAMILY,1.228615863141524
1414.40001,1.0,2022/02/08 00:00:00+00,245000.0,186600,ONE FAMILY,1.3129689174705252
3269.60001,2.0,2023/01/17 00:00:00+00,295000.0,267500,TWO FAMILY,1.102803738317757
2288.0,2.0,2021/09/27 00:00:00+00,138601.0,234000,TWO FAMILY,0.5923119658119658
1182.40001,1.0,2024/06/14 00:00:00+00,295000.0,206700,ONE FAMILY,1.4271891630382196
1182.40001,1.0,2022/11/10 00:00:00+00,210000.0,206700,ONE FAMILY,1.0159651669085632
1870.0,2.0,2020/10/13 00:00:00+00,228000.0,230200,TWO FAMILY,0.9904430929626412
1332.0,1.0,2021/05/27 00:00:00+00,177300.0,198200,ONE FAMILY,0.8945509586276489
3645.0,2.0,2022/10/04 00:00:00+00,290000.0,262100,TWO FAMILY,1.1064479206409767
3645.0,2.0,2023/11/08 00:00:00+00,305000.0,262100,TWO FAMILY,1.163677985501717
1214.5,1.0,2021/09/01 00:00:00+00,232500.0,210900,ONE FAMILY,1.1024182076813656
1730.60001,1.0,2022/07/18 00:00:00+00,245000.0,215200,ONE FAMILY,1.1384758364312269
1370.60001,1.0,2024/07/08 00:00:00+00,265500.0,190200,ONE FAMILY,1.3958990536277602
911.0,1.0,2022/04/07 00:00:00+00,195000.0,168900,ONE FAMILY,1.1545293072824157
1218.40001,1.0,2022/05/04 00:00:00+00,151500.0,170200,ONE FAMILY,0.8901292596944771
1224.0,1.0,2021/05/28 00:00:00+00,158000.0,186800,ONE FAMILY,0.8458244111349036
1380.0,1.0,2022/06/02 00:00:00+00,289000.0,207300,ONE FAMILY,1.3941148094548963
1632.0,1.0,2021/06/08 00:00:00+00,230000.0,213000,ONE FAMILY,1.07981220657277
1718.0,1.0,2022/04/18 00:00:00+00,240000.0,214600,ONE FAMILY,1.1183597390493942
1755.0,1.0,2020/11/25 00:00:00+00,227000.0,206300,ONE FAMILY,1.1003393116820164
2929.20001,2.0,2021/01/13 00:00:00+00,280000.0,257200,TWO FAMILY,1.088646967340591
2241.60001,1.0,2021/12/15 00:00:00+00,130000.0,203300,ONE FAMILY,0.6394490900147565
3068.0,2.0,2021/03/01 00:00:00+00,250000.0,257800,TWO FAMILY,0.969743987587277
3681.60001,3.0,2022/02/24 00:00:00+00,325000.0,276900,THREE FAMILY,1.1737089201877935
2492.0,2.0,2022/03/18 00:00:00+00,235000.0,245500,TWO FAMILY,0.9572301425661914
2870.40001,2.0,2021/09/08 00:00:00+00,215000.0,216900,TWO FAMILY,0.9912402028584602
2870.40001,2.0,2022/05/24 00:00:00+00,310000.0,216900,TWO FAMILY,1.4292300599354542
